address,city,price(USD),bds,ba,sqft,state,url
18 Harbor Is,NEWPORT BEACH,59995000,6,11,14200,CA,https://www.zillow.com/homedetails/18-Harbor-Is-Newport-Beach-CA-92660/25138442_zpid/
25220 Walker Rd,Hidden Hills,14995000,8,13,19549,CA,https://www.zillow.com/homedetails/25220-Walker-Rd-Hidden-Hills-CA-91302/94684438_zpid/
17111 El Vuelo,RANCHO SANTA FE,39000000,6,10,22500,CA,https://www.zillow.com/homedetails/17111-El-Vuelo-Rancho-Santa-Fe-CA-92067/16732045_zpid/
9080 Bloomfield Ave SPC 74,Cypress,55000,4,2,1440,CA,https://www.zillow.com/homedetails/9080-Bloomfield-Ave-SPC-74-Cypress-CA-90630/2138316361_zpid/
8366 Sunset View Dr,Los Angeles,18295000,5,10,10000,CA,https://www.zillow.com/homedetails/8366-Sunset-View-Dr-Los-Angeles-CA-90069/20798074_zpid/
3103 Marmil Ave,SAN DIEGO,599000,4,2,1959,CA,https://www.zillow.com/homedetails/3103-Marmil-Ave-San-Diego-CA-92139/17137518_zpid/
5922 4th Ave,LOS ANGELES,600000,2,1,1032,CA,https://www.zillow.com/homedetails/5922-4th-Ave-Los-Angeles-CA-90043/20326331_zpid/
2002 Loma Vista Dr,BEVERLY HILLS,27995000,5,9,10047,CA,https://www.zillow.com/homedetails/2002-Loma-Vista-Dr-Beverly-Hills-CA-90210/20534301_zpid/
1460 N Marengo Ave,PASADENA,449000,3,2,1718,CA,https://www.zillow.com/homedetails/1460-N-Marengo-Ave-Pasadena-CA-91103/20865207_zpid/
2391 Roscomare Rd,Los Angeles,29000000,32,42,33955,CA,https://www.zillow.com/homedetails/2391-Roscomare-Rd-Los-Angeles-CA-90077/145642986_zpid/
1707 Westridge Rd,LOS ANGELES,23495000,9,15,16243,CA,https://www.zillow.com/homedetails/1707-Westridge-Rd-Los-Angeles-CA-90049/20546614_zpid/
1813 E Bay Ave,Newport Beach,44995000,5,8,12710,CA,https://www.zillow.com/homedetails/1813-E-Bay-Ave-Newport-Beach-CA-92661/25135603_zpid/
9828 La Jolla Farms Rd,LA JOLLA,19500000,5,7,8627,CA,https://www.zillow.com/homedetails/9828-La-Jolla-Farms-Rd-La-Jolla-CA-92037/16834392_zpid/
9425 Sunset Blvd,BEVERLY HILLS,36000000,8,14,12100,CA,https://www.zillow.com/homedetails/9425-Sunset-Blvd-Beverly-Hills-CA-90210/20522439_zpid/
23800 Malibu Crest Dr,MALIBU,85000000,7,8.25,15500,CA,https://www.zillow.com/homedetails/23800-Malibu-Crest-Dr-Malibu-CA-90265/20554261_zpid/
1201 Laurel Way,BEVERLY HILLS,38000000,6,8,11200,CA,https://www.zillow.com/homedetails/1201-Laurel-Way-Beverly-Hills-CA-90210/20522020_zpid/
12605 Neon Way,Granada Hills,699000,4,3,2675,CA,https://www.zillow.com/homedetails/12605-Neon-Way-Granada-Hills-CA-91344/2085876636_zpid/
1000 N Norman Pl,LOS ANGELES,18500000,8,14,14000,CA,https://www.zillow.com/homedetails/1000-N-Norman-Pl-Los-Angeles-CA-90049/20547014_zpid/
3428 N Riverside Ave,RIALTO,275000,5,4,1640,CA,https://www.zillow.com/homedetails/3428-N-Riverside-Ave-Rialto-CA-92377/17327043_zpid/
75 Beverly Park Ln,BEVERLY HILLS,47500000,8,10,14554,CA,https://www.zillow.com/homedetails/75-Beverly-Park-Ln-Beverly-Hills-CA-90210/20533549_zpid/
25241 Prado Del Grandioso,CALABASAS,10980000,8,12,14763,CA,https://www.zillow.com/homedetails/25241-Prado-Del-Grandioso-Calabasas-CA-91302/89149375_zpid/
1172 N Doheny Dr,Los Angeles,9300000,7,7,6485,CA,https://www.zillow.com/homedetails/1172-N-Doheny-Dr-Los-Angeles-CA-90069/20799494_zpid/
24100 Hidden Ridge Rd,Hidden Hills,12995000,6,7,10876,CA,https://www.zillow.com/homedetails/24100-Hidden-Ridge-Rd-Hidden-Hills-CA-91302/119679793_zpid/
7541 Shady Glen Cir,Huntington Beach,387500,2,3,1513,CA,https://www.zillow.com/homedetails/7541-Shady-Glen-Cir-Huntington-Beach-CA-92648/51673517_zpid/
1456 E Philadelphia St SPC 378,Ontario,179900,3,2,1510,CA,https://www.zillow.com/homedetails/1456-E-Philadelphia-St-SPC-378-Ontario-CA-91761/2098879848_zpid/
9133 Oriole Way,West Hollywood,29000000,6,10,12530,CA,https://www.zillow.com/homedetails/9133-Oriole-Way-West-Hollywood-CA-90069/20799194_zpid/
27500 La Vida Real,LOS ALTOS HILLS,49990000,5,12,20982,CA,https://www.zillow.com/homedetails/27500-La-Vida-Real-Los-Altos-Hills-CA-94022/69299302_zpid/
1400 Mission St APT 810,San Francisco,310484,1,1,631,CA,https://www.zillow.com/homedetails/1400-Mission-St-APT-810-San-Francisco-CA-94103/241585150_zpid/
1231 Lago Vista Dr,BEVERLY HILLS,39500000,7,11,14173,CA,https://www.zillow.com/homedetails/1231-Lago-Vista-Dr-Beverly-Hills-CA-90210/20522701_zpid/
6241 Warner Ave SPC 207,Huntington Beach,174900,4,2,1350,CA,https://www.zillow.com/homedetails/6241-Warner-Ave-SPC-207-Huntington-Beach-CA-92647/2086424848_zpid/
17405 Cumpston St,Encino,4995000,6,10,10044,CA,https://www.zillow.com/homedetails/17405-Cumpston-St-Encino-CA-91316/2087115202_zpid/
2820 Scott St,San Francisco,27500000,7,11,16000,CA,https://www.zillow.com/homedetails/2820-Scott-St-San-Francisco-CA-94123/2143821426_zpid/
6750 Fig St,RIVERSIDE,285000,3,2,1432,CA,https://www.zillow.com/homedetails/6750-Fig-St-Riverside-CA-92506/17850075_zpid/
1208 E Leigh Ct,Long Beach,198000,2,1,722,CA,https://www.zillow.com/homedetails/1208-E-Leigh-Ct-Long-Beach-CA-90806/21197289_zpid/
1143 Ravoli Dr,Pacific Palisades,24450000,8,12,13777,CA,https://www.zillow.com/homedetails/1143-Ravoli-Dr-Pacific-Palisades-CA-90272/244498794_zpid/
3325 82nd Ave,OAKLAND,499000,2,1,1094,CA,https://www.zillow.com/homedetails/3325-82nd-Ave-Oakland-CA-94605/24794218_zpid/
11585 Spruce Run Dr,SAN DIEGO,1249000,6,4,3562,CA,https://www.zillow.com/homedetails/11585-Spruce-Run-Dr-San-Diego-CA-92131/16824653_zpid/
1006 Chantilly Rd,LOS ANGELES,15000000,7,10,10000,CA,https://www.zillow.com/homedetails/1006-Chantilly-Rd-Los-Angeles-CA-90077/20529214_zpid/
1836 Cindy St,San Diego,90000,3,2,820,CA,https://www.zillow.com/homedetails/1836-Cindy-St-San-Diego-CA-92154/140633943_zpid/
701 E Orange Grove Blvd,PASADENA,330000,2,2,948,CA,https://www.zillow.com/homedetails/701-E-Orange-Grove-Blvd-Pasadena-CA-91104/20866510_zpid/
10778 Chalon Rd,Los Angeles,35000000,7,6,11200,CA,https://www.zillow.com/homedetails/10778-Chalon-Rd-Los-Angeles-CA-90077/20526741_zpid/
3990 Washington St,San Francisco,11500000,6,6.5,7600,CA,https://www.zillow.com/homedetails/3990-Washington-St-San-Francisco-CA-94118/2088100129_zpid/
24051 Long Valley Rd,Hidden Hills,17500000,7,9,11850,CA,https://www.zillow.com/homedetails/24051-Long-Valley-Rd-Hidden-Hills-CA-91302/19882864_zpid/
15111 Pipeline Ave,Chino Hills,219000,3,2,1541,CA,https://www.zillow.com/homedetails/15111-Pipeline-Ave-Chino-Hills-CA-91709/82918444_zpid/
2078 Stradella Rd,LOS ANGELES,5995000,6,9,15000,CA,https://www.zillow.com/homedetails/2078-Stradella-Rd-Los-Angeles-CA-90077/20530384_zpid/
1029 Hanover Dr,BEVERLY HILLS,39995000,5,8,12000,CA,https://www.zillow.com/homedetails/1029-Hanover-Dr-Beverly-Hills-CA-90210/20522338_zpid/
6722 Burdett Way,SACRAMENTO,284900,3,2,1254,CA,https://www.zillow.com/homedetails/6722-Burdett-Way-Sacramento-CA-95823/25840479_zpid/
1469 Bel Air Rd,Los Angeles,14950000,7,12,12339,CA,https://www.zillow.com/homedetails/1469-Bel-Air-Rd-Los-Angeles-CA-90077/20529570_zpid/
1744 Stone Canyon Rd,LOS ANGELES,6750000,6,8,7800,CA,https://www.zillow.com/homedetails/1744-Stone-Canyon-Rd-Los-Angeles-CA-90077/20529449_zpid/
1802 Princeton Ave,STOCKTON,199900,3,2,1503,CA,https://www.zillow.com/homedetails/1802-Princeton-Ave-Stockton-CA-95204/15310295_zpid/
993 Dolores St,San Francisco,899000,2,2,1175,CA,https://www.zillow.com/homedetails/993-Dolores-St-San-Francisco-CA-94110/2086204887_zpid/
5301 Amestoy Ave,ENCINO,5475000,6,10,8500,CA,https://www.zillow.com/homedetails/5301-Amestoy-Ave-Encino-CA-91316/19979327_zpid/
1940 Bel Air Rd,LOS ANGELES,27995000,8,15,16590,CA,https://www.zillow.com/homedetails/1940-Bel-Air-Rd-Los-Angeles-CA-90077/20529501_zpid/
61 Faxon Rd,Atherton,26500000,7,12,13014,CA,https://www.zillow.com/homedetails/61-Faxon-Rd-Atherton-CA-94027/15593641_zpid/
517 N Rexford Dr,BEVERLY HILLS,12495000,6,9,9564,CA,https://www.zillow.com/homedetails/517-N-Rexford-Dr-Beverly-Hills-CA-90210/20521050_zpid/
23777 Mulholland Hwy SPC 162,Calabasas,209500,3,2,1488,CA,https://www.zillow.com/homedetails/23777-Mulholland-Hwy-SPC-162-Calabasas-CA-91302/2134536752_zpid/
3701 Catalina Dr,Carlsbad,699000,5,3,2127,CA,https://www.zillow.com/homedetails/3701-Catalina-Dr-Carlsbad-CA-92010/2085620347_zpid/
1160 Shadow Hill Way,BEVERLY HILLS,19995000,5,8,10370,CA,https://www.zillow.com/homedetails/1160-Shadow-Hill-Way-Beverly-Hills-CA-90210/20522007_zpid/
5889 Jed Smith Rd,Hidden Hills,14995000,7,12,12351,CA,https://www.zillow.com/homedetails/5889-Jed-Smith-Rd-Hidden-Hills-CA-91302/19882707_zpid/
25860 Chalmers Pl,Calabasas,3895000,7,8,6947,CA,https://www.zillow.com/homedetails/25860-Chalmers-Pl-Calabasas-CA-91302/19883232_zpid/
3432 Pinebrook,Costa Mesa,418000,3,2,1480,CA,https://www.zillow.com/homedetails/3432-Pinebrook-Costa-Mesa-CA-92626/2109776309_zpid/
14000 Calle Real,GOLETA,110000000,10,21,360,CA,https://www.zillow.com/homedetails/14000-Calle-Real-Goleta-CA-93117/15917936_zpid/
7575 Hill Rd,Granite Bay,500000,4,3,1957,CA,https://www.zillow.com/homedetails/7575-Hill-Rd-Granite-Bay-CA-95746/17677801_zpid/
643 Cragmont Ave,BERKELEY,795000,2,1,843,CA,https://www.zillow.com/homedetails/643-Cragmont-Ave-Berkeley-CA-94708/24848218_zpid/
3154 Riley Rd,SOLVANG,299000,4,2,2446,CA,https://www.zillow.com/homedetails/3154-Riley-Rd-Solvang-CA-93463/15957388_zpid/
1220 Tasman Dr SPC 271,Sunnyvale,278800,2,2,1319,CA,https://www.zillow.com/homedetails/1220-Tasman-Dr-SPC-271-Sunnyvale-CA-94089/2101358281_zpid/
5148 Main Ave,Orangevale,200000,,1,2085,CA,https://www.zillow.com/homedetails/5148-Main-Ave-Orangevale-CA-95662/2085516374_zpid/
813 N Alpine Dr,BEVERLY HILLS,21999000,6,10,11000,CA,https://www.zillow.com/homedetails/813-N-Alpine-Dr-Beverly-Hills-CA-90210/20519817_zpid/
2622 N Tustin Ave UNIT A,Santa Ana,204900,2,2,1283,CA,https://www.zillow.com/homedetails/2622-N-Tustin-Ave-UNIT-A-Santa-Ana-CA-92705/2093199095_zpid/
1062 Maroney Ln,Pacific Palisades,7675000,6,10,7597,CA,https://www.zillow.com/homedetails/1062-Maroney-Ln-Pacific-Palisades-CA-90272/244110100_zpid/
1160 Mission St UNIT 709,SAN FRANCISCO,287274,1,1,764,CA,https://www.zillow.com/homedetails/1160-Mission-St-UNIT-709-San-Francisco-CA-94103/83127981_zpid/
4130 Calle Isabella,SAN CLEMENTE,44000000,7,10,12854,CA,https://www.zillow.com/homedetails/4130-Calle-Isabella-San-Clemente-CA-92672/25145236_zpid/
4730 San Rafael Ave,LOS ANGELES,649900,2,2,1831,CA,https://www.zillow.com/homedetails/4730-San-Rafael-Ave-Los-Angeles-CA-90042/20763281_zpid/
4921 Azucena Rd,WOODLAND HILLS,3499000,5,6,6208,CA,https://www.zillow.com/homedetails/4921-Azucena-Rd-Woodland-Hills-CA-91364/19900115_zpid/
