title,address,city,state,postal_code,price,facts and features,real estate provider,url
Condo for sale,100 S Pointe Dr PENTHOUSE 2,Miami beach,FL,33139,"$48,000,000","7 bds , 8 ba , 11,031 sqft",,https://www.zillow.com/homedetails/100-S-Pointe-Dr-PENTHOUSE-2-Miami-Beach-FL-33139/62927199_zpid/
Condo for sale,4740 Walden Cir # 32,Orlando,FL,32811,"$89,900","2 bds , 2 ba , 956 sqft",Premier Sotheby's International Realty,https://www.zillow.com/homedetails/4740-Walden-Cir-32-Orlando-FL-32811/2093720650_zpid/
New construction,2464 NW 64th St,BOCA RATON,FL,33496,"$219,000","3 bds , 3 ba , 1,910 sqft",,https://www.zillow.com/homedetails/2464-NW-64th-St-Boca-Raton-FL-33496/46698878_zpid/
House for sale,725 38th Ave S,SAINT PETERSBURG,FL,33705,"$129,000","3 bds , 2 ba , 1,877 sqft",,https://www.zillow.com/homedetails/725-38th-Ave-S-Saint-Petersburg-FL-33705/47244721_zpid/
For sale by owner,2 Quintana Roo Ln,Port St Lucie,FL,34952,"$23,900","2 bds , 2 ba , 1,416 sqft",,https://www.zillow.com/homedetails/2-Quintana-Roo-Ln-Port-St-Lucie-FL-34952/2101188021_zpid/
New construction,430 W San Marino Dr,Miami Beach,FL,33139,"$22,500,000","5 bds , 7 ba , 7,000 sqft",,https://www.zillow.com/homedetails/430-W-San-Marino-Dr-Miami-Beach-FL-33139/43894914_zpid/
Condo for sale,15342 Strathearn Dr APT 12304,DELRAY BEACH,FL,33446,"$89,900","3 bds , 3 ba , 2,025 sqft",,https://www.zillow.com/homedetails/15342-Strathearn-Dr-APT-12304-Delray-Beach-FL-33446/46613649_zpid/
House for sale,2800 S Portofino Rd,Saint Augustine,FL,32092,"$312,500","4 bds , 3 ba , 2,360 sqft",Watson Realty Corp (US1 South),https://www.zillow.com/homedetails/2800-S-Portofino-Rd-Saint-Augustine-FL-32092/84675273_zpid/
Foreclosure,1904 NE 20th Ave,Cape Coral,FL,33909,"$151,800","4 bds , 3 ba , 2,113 sqft",,https://www.zillow.com/homedetails/1904-NE-20th-Ave-Cape-Coral-FL-33909/81867433_zpid/
House for sale,3381 SW 18th St,Fort Lauderdale,FL,33312,"$299,000","4 bds , 2 ba , 2,345 sqft",,https://www.zillow.com/homedetails/3381-SW-18th-St-Fort-Lauderdale-FL-33312/43216147_zpid/
Home for sale,8400 Gallberry Cir,PORT SAINT LUCIE,FL,34952,"$89,900","2 bds , 2 ba , 1,544 sqft",,https://www.zillow.com/homedetails/8400-Gallberry-Cir-Port-Saint-Lucie-FL-34952/47853358_zpid/
House for sale,1840 S Bayshore Ln,Miami,FL,33133,"$8,500,000","6 bds , 8 ba , 12,863 sqft",,https://www.zillow.com/homedetails/1840-S-Bayshore-Ln-Miami-FL-33133/92442054_zpid/
House for sale,5115 Cruz Rd,Jacksonville,FL,32207,"$139,900","3 bds , 3 ba , 1,416 sqft",,https://www.zillow.com/homedetails/5115-Cruz-Rd-Jacksonville-FL-32207/89841991_zpid/
For sale by owner,4150 Hibiscus Rd,VENICE,FL,34293,"$229,000","3 bds , 2 ba , 1,396 sqft",,https://www.zillow.com/homedetails/4150-Hibiscus-Rd-Venice-FL-34293/47575297_zpid/
House for sale,2324 W Avery St,PENSACOLA,FL,32505,"$110,000","3 bds , 2 ba , 2,000 sqft",,https://www.zillow.com/homedetails/2324-W-Avery-St-Pensacola-FL-32505/44669589_zpid/
New construction,2609 E 27th Ave,Tampa,FL,33605,"$179,900","3 bds , 2 ba , 1,266 sqft",,https://www.zillow.com/homedetails/2609-E-27th-Ave-Tampa-FL-33605/99634100_zpid/
New construction,6606 Woodthrush Hl,Orlando,FL,32810,"$104,900","3 bds , 2 ba , 1,310 sqft",,https://www.zillow.com/homedetails/6606-Woodthrush-Hl-Orlando-FL-32810/2086195721_zpid/
For sale by owner,916 SW 132nd Ter,Davie,FL,33325,"$62,000","3 bds , 2 ba , 1,456 sqft",,https://www.zillow.com/homedetails/916-SW-132nd-Ter-Davie-FL-33325/2085834981_zpid/
House for sale,9912 Lake Louise Dr,WINDERMERE,FL,34786,"$23,000,000","11 bds , 14 ba , 25,466 sqft",,https://www.zillow.com/homedetails/9912-Lake-Louise-Dr-Windermere-FL-34786/46163238_zpid/
Condo for sale,555 NE 15th St APT 421,Miami,FL,33132,"$138,000","1 bd , 1 ba , 450 sqft",Coldwell Banker Residential Real Estate - Kendall,https://www.zillow.com/homedetails/555-NE-15th-St-APT-421-Miami-FL-33132/43833344_zpid/
House for sale,11114 Newbridge Dr,RIVERVIEW,FL,33579,"$185,000","3 bds , 2 ba , 1,656 sqft",,https://www.zillow.com/homedetails/11114-Newbridge-Dr-Riverview-FL-33579/66723697_zpid/
House for sale,3255 Buffalo Run,TARPON SPRINGS,FL,34688,"$9,850,000","9 bds , 13 ba , 20,519 sqft",Premier Sotheby's International Realty,https://www.zillow.com/homedetails/3255-Buffalo-Run-Tarpon-Springs-FL-34688/68597932_zpid/
House for sale,3414 Bellingham Dr,Orlando,FL,32825,"$209,000","4 bds , 2 ba , 1,835 sqft",,https://www.zillow.com/homedetails/3414-Bellingham-Dr-Orlando-FL-32825/46085644_zpid/
House for sale,14108 Pullman Dr,SPRING HILL,FL,34609,"$204,800","4 bds , 3 ba , 3,901 sqft",,https://www.zillow.com/homedetails/14108-Pullman-Dr-Spring-Hill-FL-34609/44799680_zpid/
House for sale,125 W Hancock St,LAKELAND,FL,33803,"$219,900","3 bds , 3 ba , 1,850 sqft",,https://www.zillow.com/homedetails/125-W-Hancock-St-Lakeland-FL-33803/47386741_zpid/
Foreclosure,2053 NW 52nd St,BOCA RATON,FL,33496,"$74,070","2 bds , 2.5 ba , 1,527 sqft",,https://www.zillow.com/homedetails/2053-NW-52nd-St-Boca-Raton-FL-33496/46698428_zpid/
For sale by owner,12004 Butler Woods Cir,RIVERVIEW,FL,33579,"$189,900","3 bds , 3 ba , 1,780 sqft",,https://www.zillow.com/homedetails/12004-Butler-Woods-Cir-Riverview-FL-33579/68581926_zpid/
House for sale,6 Hudson Falls Dr,Ormond Beach,FL,32174,"$34,000","2 bds , 2 ba , 1,176 sqft",,https://www.zillow.com/homedetails/6-Hudson-Falls-Dr-Ormond-Beach-FL-32174/2140353211_zpid/
Condo for sale,6815 Willow Wood Dr APT 4014,BOCA RATON,FL,33434,"$24,999","2 bds , 2 ba , 1,255 sqft",,https://www.zillow.com/homedetails/6815-Willow-Wood-Dr-APT-4014-Boca-Raton-FL-33434/46644671_zpid/
House for sale,5518 Dogwood Way,Tamarac,FL,33319,"$199,000","3 bds , 3 ba , 1,770 sqft",,https://www.zillow.com/homedetails/5518-Dogwood-Way-Tamarac-FL-33319/2087012328_zpid/
House for sale,9137 Sloane St,ORLANDO,FL,32827,"$3,900,000","5 bds , 7 ba , 9,200 sqft",Premier Sotheby's International Realty,https://www.zillow.com/homedetails/9137-Sloane-St-Orlando-FL-32827/46079593_zpid/
House for sale,1940 S Highway A1a,VERO BEACH,FL,32963,"$29,900,000","12 bds , 14.5 ba , 16,086 sqft",,https://www.zillow.com/homedetails/1940-S-Highway-A1a-Vero-Beach-FL-32963/45275082_zpid/
For sale by owner,4644 Mill Station Pl,Jacksonville,FL,32257,"$259,500","4 bds , 2 ba , 1,983 sqft",,https://www.zillow.com/homedetails/4644-Mill-Station-Pl-Jacksonville-FL-32257/44552696_zpid/
House for sale,10221 Timberland Point Dr,Tampa,FL,33647,"$298,800","4 bds , 3 ba , 2,298 sqft",,https://www.zillow.com/homedetails/10221-Timberland-Point-Dr-Tampa-FL-33647/154892465_zpid/
House for sale,(undisclosed Address),NORTH PALM BEACH,FL,33408,"$49,500,000","11 bds , 15 ba , 23,176 sqft",Sotheby's International Realty - Palm Beach Brokerage,https://www.zillow.com/homedetails/(undisclosed-Address)-North-Palm-Beach-FL-33408/2090666459_zpid/
Condo for sale,109 Clubhouse Ln APT 296,Naples,FL,34105,"$100,000","2 bds , 2 ba , 1,758 sqft",,https://www.zillow.com/homedetails/109-Clubhouse-Ln-APT-296-Naples-FL-34105/2085927745_zpid/
Townhouse for sale,2534 NW 52nd St,BOCA RATON,FL,33496,"$149,000","3 bds , 3 ba , 1,897 sqft",,https://www.zillow.com/homedetails/2534-NW-52nd-St-Boca-Raton-FL-33496/46699960_zpid/
House for sale,1101 E Humphrey St,Tampa,FL,33604,"$199,900","3 bds , 2 ba , 1,300 sqft",,https://www.zillow.com/homedetails/1101-E-Humphrey-St-Tampa-FL-33604/82983241_zpid/
House for sale,4572 White Cedar Ln,DELRAY BEACH,FL,33445,"$249,000","3 bds , 3 ba , 2,148 sqft",,https://www.zillow.com/homedetails/4572-White-Cedar-Ln-Delray-Beach-FL-33445/46761515_zpid/
House for sale,4 Tahiti Beach Island Rd,Coral Gables,FL,33143,"$39,500,000","10 bds , 11 ba , 18,359 sqft",,https://www.zillow.com/homedetails/4-Tahiti-Beach-Island-Rd-Coral-Gables-FL-33143/92438856_zpid/
House for sale,845 Longboat Club Rd,LONGBOAT KEY,FL,34228,"$22,500,000","6 bds , 7 ba , 19,300 sqft",,https://www.zillow.com/homedetails/845-Longboat-Club-Rd-Longboat-Key-FL-34228/70423512_zpid/
House for sale,1832 Galleon Dr,NAPLES,FL,34102,"$39,900,000","5 bds , 10 ba , 12,781 sqft",,https://www.zillow.com/homedetails/1832-Galleon-Dr-Naples-FL-34102/43736038_zpid/
House for sale,1136 Cherry Valley Way,ORLANDO,FL,32828,"$245,000","3 bds , 2 ba , 1,565 sqft",,https://www.zillow.com/homedetails/1136-Cherry-Valley-Way-Orlando-FL-32828/54441409_zpid/
Condo for sale,13418 Harbour Ridge Blvd # 1A,Fort Pierce,FL,34950,"$25,000","3 bds , 2 ba , 1,749 sqft",,https://www.zillow.com/homedetails/13418-Harbour-Ridge-Blvd-1A-Fort-Pierce-FL-34950/47858892_zpid/
House for sale,1228 Windsor Harbor Dr,Jacksonville,FL,32225,"$3,569,000","7 bds , 9 ba , 10,282 sqft",WATSON REALTY CORP,https://www.zillow.com/homedetails/1228-Windsor-Harbor-Dr-Jacksonville-FL-32225/44601777_zpid/
For sale by owner,5000 Culbreath Key Way APT 8323,TAMPA,FL,33611,"$115,900","1 bd , 1 ba , 654 sqft",,https://www.zillow.com/homedetails/5000-Culbreath-Key-Way-APT-8323-Tampa-FL-33611/64774515_zpid/
House for sale,15195 Angus Rd,POLK CITY,FL,33868,"$159,900","6 bds , 7 ba , 3,550 sqft",,https://www.zillow.com/homedetails/15195-Angus-Rd-Polk-City-FL-33868/55133928_zpid/
House for sale,3799 Flamingo Ave,SARASOTA,FL,34242,"$13,900,000","4 bds , 5 ba , 8,138 sqft",Premier Sotheby's International Realty,https://www.zillow.com/homedetails/3799-Flamingo-Ave-Sarasota-FL-34242/47610170_zpid/
New construction,1040 S Ocean Blvd,Lantana,FL,33462,"$39,950,000","8 bds , 15 ba , 16,570 sqft",,https://www.zillow.com/homedetails/1040-S-Ocean-Blvd-Lantana-FL-33462/46839005_zpid/
Condo for sale,212 La Peninsula Blvd # 212,Naples,FL,34113,"$399,000","2 bds , 3 ba , 1,860 sqft",,https://www.zillow.com/homedetails/212-La-Peninsula-Blvd-212-Naples-FL-34113/2085770904_zpid/
New construction,3004 E Mcberry St,Tampa,FL,33610,"$209,900","3 bds , 2 ba , 1,484 sqft",,https://www.zillow.com/homedetails/3004-E-Mcberry-St-Tampa-FL-33610/2087910590_zpid/
House for sale,105 New Hope Rd,BRANDON,FL,33510,"$154,900","3 bds , 2 ba , 1,332 sqft",,https://www.zillow.com/homedetails/105-New-Hope-Rd-Brandon-FL-33510/44978523_zpid/
