address,city,price(USD),age,bds,ba,sqft,state,url
2155 Rainbow Rd,Conway,165000,26,3.0,2.0,1876,AR,https://www.zillow.com/homedetails/2155-Rainbow-Rd-Conway-AR-72032/240103_zpid/
5320 S Bellview Rd,ROGERS,15000,43,4.0,3.0,2511,AR,https://www.zillow.com/homedetails/5320-S-Bellview-Rd-Rogers-AR-72758/70656914_zpid/
18319 Williamstowne Pl,Springdale,264900,4,3.0,2.0,1497,AR,https://www.zillow.com/homedetails/18319-Williamstowne-Pl-Springdale-AR-72764/134617119_zpid/
4300 E Lawndale Dr,FAYETTEVILLE,165000,18,3.0,2.0,1298,AR,https://www.zillow.com/homedetails/4300-E-Lawndale-Dr-Fayetteville-AR-72701/72871218_zpid/
3820 S 101st Dr,TOLLESON,249900,13,3.0,2.0,2213,AZ,https://www.zillow.com/homedetails/3820-S-101st-Dr-Tolleson-AZ-85353/71491541_zpid/
2512 W Laredo Ln,PHOENIX,385000,13,5.0,4.0,3253,AZ,https://www.zillow.com/homedetails/2512-W-Laredo-Ln-Phoenix-AZ-85085/81971948_zpid/
2827 E Janice Way,Phoenix,190000,58,2.0,2.0,1020,AZ,https://www.zillow.com/homedetails/2827-E-Janice-Way-Phoenix-AZ-85032/8011623_zpid/
15945 W Marconi Ave,Surprise,270000,19,3.0,2.0,2174,AZ,https://www.zillow.com/homedetails/15945-W-Marconi-Ave-Surprise-AZ-85374/8306675_zpid/
7756 N 19th Ln,Phoenix,189000,34,2.0,3.0,1580,AZ,https://www.zillow.com/homedetails/7756-N-19th-Ln-Phoenix-AZ-85021/7778586_zpid/
21989 W Hadley St,Buckeye,282910,13,5.0,3.0,2594,AZ,https://www.zillow.com/homedetails/21989-W-Hadley-St-Buckeye-AZ-85326/71492515_zpid/
27586 N 99th Dr,Peoria,535000,3,4.0,4.0,3175,AZ,https://www.zillow.com/homedetails/27586-N-99th-Dr-Peoria-AZ-85383/125135162_zpid/
4711 E Frye Rd,PHOENIX,339900,22,4.0,3.0,2065,AZ,https://www.zillow.com/homedetails/4711-E-Frye-Rd-Phoenix-AZ-85048/8259804_zpid/
27663 N 108th Way,SCOTTSDALE,550000,18,3.0,2.0,2431,AZ,https://www.zillow.com/homedetails/27663-N-108th-Way-Scottsdale-AZ-85262/8038748_zpid/
7136 S 48th Gln,Laveen,204000,11,3.0,3.0,1637,AZ,https://www.zillow.com/homedetails/7136-S-48th-Gln-Laveen-AZ-85339/88061776_zpid/
4948 W Marcus Dr,Phoenix,505000,13,5.0,5.0,3937,AZ,https://www.zillow.com/homedetails/4948-W-Marcus-Dr-Phoenix-AZ-85083/71606743_zpid/
4824 N 196th Ln,Litchfield Park,476500,10,4.0,3.0,2832,AZ,https://www.zillow.com/homedetails/4824-N-196th-Ln-Litchfield-Park-AZ-85340/89027154_zpid/
1514 S 82nd Dr,Phoenix,208500,16,3.0,2.0,1565,AZ,https://www.zillow.com/homedetails/1514-S-82nd-Dr-Phoenix-AZ-85043/60047235_zpid/
215 W Angus Rd,San Tan Valley,214900,15,4.0,2.0,1635,AZ,https://www.zillow.com/homedetails/215-W-Angus-Rd-San-Tan-Valley-AZ-85143/63235723_zpid/
12735 W Nadine Way,Peoria,339900,14,5.0,3.0,2615,AZ,https://www.zillow.com/homedetails/12735-W-Nadine-Way-Peoria-AZ-85383/67784116_zpid/
2750 E Cactus Rd,PHOENIX,245900,47,4.0,2.0,1469,AZ,https://www.zillow.com/homedetails/2750-E-Cactus-Rd-Phoenix-AZ-85032/7820222_zpid/
16540 E El Lago Blvd UNIT 16,Fountain Hills,382900,18,2.0,2.0,1652,AZ,https://www.zillow.com/homedetails/16540-E-El-Lago-Blvd-UNIT-16-Fountain-Hills-AZ-85268/55261620_zpid/
1037 W Spur Ct,Gilbert,534900,18,4.0,3.0,3830,AZ,https://www.zillow.com/homedetails/1037-W-Spur-Ct-Gilbert-AZ-85233/55279787_zpid/
8560 E Roosevelt St,Scottsdale,157900,47,2.0,2.0,950,AZ,https://www.zillow.com/homedetails/8560-E-Roosevelt-St-Scottsdale-AZ-85257/7577659_zpid/
15246 W Cortez St,Surprise,320000,16,4.0,3.0,3069,AZ,https://www.zillow.com/homedetails/15246-W-Cortez-St-Surprise-AZ-85379/60965080_zpid/
1062 E Baylor Ln,Gilbert,330000,21,3.0,2.0,1868,AZ,https://www.zillow.com/homedetails/1062-E-Baylor-Ln-Gilbert-AZ-85296/8241367_zpid/
6012 S 16th Dr,Phoenix,239900,17,3.0,3.0,1979,AZ,https://www.zillow.com/homedetails/6012-S-16th-Dr-Phoenix-AZ-85041/59899258_zpid/
1258 W Laguna Azul Ave,Mesa,358900,40,4.0,3.0,2651,AZ,https://www.zillow.com/homedetails/1258-W-Laguna-Azul-Ave-Mesa-AZ-85202/8252532_zpid/
7919 W Rose Ln,Glendale,252150,24,4.0,2.0,2075,AZ,https://www.zillow.com/homedetails/7919-W-Rose-Ln-Glendale-AZ-85303/7462996_zpid/
25023 N 50th Ave,Phoenix,449900,25,5.0,3.0,3309,AZ,https://www.zillow.com/homedetails/25023-N-50th-Ave-Phoenix-AZ-85083/7929407_zpid/
16654 S 37th St,Phoenix,390500,32,4.0,2.0,2192,AZ,https://www.zillow.com/homedetails/16654-S-37th-St-Phoenix-AZ-85048/8255766_zpid/
11758 N 113th Way,Scottsdale,359900,32,3.0,2.0,1566,AZ,https://www.zillow.com/homedetails/11758-N-113th-Way-Scottsdale-AZ-85259/8050825_zpid/
10704 E Pivitol Ave,Mesa,354900,6,3.0,3.0,2284,AZ,https://www.zillow.com/homedetails/10704-E-Pivitol-Ave-Mesa-AZ-85212/121423131_zpid/
10348 W Yuma St,Tolleson,232000,3,4.0,2.0,1625,AZ,https://www.zillow.com/homedetails/10348-W-Yuma-St-Tolleson-AZ-85353/157722631_zpid/
108 S Morning Ridge Dr,Gilbert,329000,31,4.0,3.0,2360,AZ,https://www.zillow.com/homedetails/108-S-Morning-Ridge-Dr-Gilbert-AZ-85296/8239621_zpid/
2992 N Miller Rd UNIT 206A,SCOTTSDALE,250000,22,2.0,2.0,1088,AZ,https://www.zillow.com/homedetails/2992-N-Miller-Rd-UNIT-206A-Scottsdale-AZ-85251/7574021_zpid/
12801 N 140th Dr,SURPRISE,265000,14,4.0,2.0,2065,AZ,https://www.zillow.com/homedetails/12801-N-140th-Dr-Surprise-AZ-85379/67795352_zpid/
5916 W Dublin Ct,CHANDLER,355900,28,4.0,2.0,2085,AZ,https://www.zillow.com/homedetails/5916-W-Dublin-Ct-Chandler-AZ-85226/8261923_zpid/
6671 S Crestview Dr,Gilbert,484500,17,4.0,3.0,3108,AZ,https://www.zillow.com/homedetails/6671-S-Crestview-Dr-Gilbert-AZ-85298/59261831_zpid/
20173 E Estrella Rd,Queen Creek,503900,2,6.0,6.0,4402,AZ,https://www.zillow.com/homedetails/20173-E-Estrella-Rd-Queen-Creek-AZ-85142/121855765_zpid/
16132 N 99th Pl,SCOTTSDALE,498900,16,3.0,2.0,2311,AZ,https://www.zillow.com/homedetails/16132-N-99th-Pl-Scottsdale-AZ-85260/59267495_zpid/
240 W Missouri Ave UNIT 12,Phoenix,574000,3,3.0,3.0,1974,AZ,https://www.zillow.com/homedetails/240-W-Missouri-Ave-UNIT-12-Phoenix-AZ-85013/157723272_zpid/
15809 E Cholla Dr,FOUNTAIN HILLS,450000,26,4.0,3.0,2415,AZ,https://www.zillow.com/homedetails/15809-E-Cholla-Dr-Fountain-Hills-AZ-85268/7875152_zpid/
13746 W Lisbon Ln,Surprise,300000,15,4.0,3.0,3077,AZ,https://www.zillow.com/homedetails/13746-W-Lisbon-Ln-Surprise-AZ-85379/62737883_zpid/
1142 N Saint Elena St,Gilbert,364900,30,4.0,3.0,2513,AZ,https://www.zillow.com/homedetails/1142-N-Saint-Elena-St-Gilbert-AZ-85234/8248070_zpid/
8046 W Laurel Ln,PEORIA,219500,32,3.0,2.0,1262,AZ,https://www.zillow.com/homedetails/8046-W-Laurel-Ln-Peoria-AZ-85345/7680756_zpid/
14856 W Laurel Ln,Surprise,274000,16,4.0,3.0,2618,AZ,https://www.zillow.com/homedetails/14856-W-Laurel-Ln-Surprise-AZ-85379/60999913_zpid/
21796 S 220th Pl,Queen Creek,370000,4,3.0,3.0,2302,AZ,https://www.zillow.com/homedetails/21796-S-220th-Pl-Queen-Creek-AZ-85142/95074787_zpid/
5483 S Cardinal St,GILBERT,531000,10,5.0,4.0,4065,AZ,https://www.zillow.com/homedetails/5483-S-Cardinal-St-Gilbert-AZ-85298/89026755_zpid/
924 Bel Air Rd,LOS ANGELES,150000000,2,12.0,31.0,38000,CA,https://www.zillow.com/homedetails/924-Bel-Air-Rd-Los-Angeles-CA-90077/20529647_zpid/
67 Beverly Park Ct,BEVERLY HILLS,165000000,21,20.0,23.0,28660,CA,https://www.zillow.com/homedetails/67-Beverly-Park-Ct-Beverly-Hills-CA-90210/20533576_zpid/
822 Sarbonne Rd,LOS ANGELES,88000000,55,9.0,15.0,24922,CA,https://www.zillow.com/homedetails/822-Sarbonne-Rd-Los-Angeles-CA-90077/55822832_zpid/
4379 Firmament Ave,ENCINO,7795000,0,9.0,10.0,10200,CA,https://www.zillow.com/homedetails/4379-Firmament-Ave-Encino-CA-91436/19991124_zpid/
2571 Wallingford Dr,BEVERLY HILLS,135000000,19,17.0,30.0,43000,CA,https://www.zillow.com/homedetails/2571-Wallingford-Dr-Beverly-Hills-CA-90210/20532066_zpid/
9505 Lania Ln,BEVERLY HILLS,129000000,17,12.0,23.0,43000,CA,https://www.zillow.com/homedetails/9505-Lania-Ln-Beverly-Hills-CA-90210/20533853_zpid/
10697 Somma Way,Los Angeles,100000000,0,8.0,21.0,41000,CA,https://www.zillow.com/homedetails/10697-Somma-Way-Los-Angeles-CA-90077/2087104502_zpid/
1175 N Hillcrest Rd,BEVERLY HILLS,68000000,1,7.0,9.0,20000,CA,https://www.zillow.com/homedetails/1175-N-Hillcrest-Rd-Beverly-Hills-CA-90210/20534638_zpid/
277 Saint Pierre Rd,Los Angeles,49900000,92,8.0,20.0,36000,CA,https://www.zillow.com/homedetails/277-Saint-Pierre-Rd-Los-Angeles-CA-90077/20526917_zpid/
281 Bentley Cir,Los Angeles,48000000,0,7.0,10.0,20000,CA,https://www.zillow.com/homedetails/281-Bentley-Cir-Los-Angeles-CA-90049/20527733_zpid/
9826 La Jolla Farms Rd,LA JOLLA,30000000,12,6.0,6.0,11954,CA,https://www.zillow.com/homedetails/9826-La-Jolla-Farms-Rd-La-Jolla-CA-92037/16834391_zpid/
11490 Orum Rd,Los Angeles,56000000,67,9.0,15.0,18850,CA,https://www.zillow.com/homedetails/11490-Orum-Rd-Los-Angeles-CA-90049/20528926_zpid/
3970 Victoria Ln,Westlake Village,85000000,6,12.0,33.0,50255,CA,https://www.zillow.com/homedetails/3970-Victoria-Ln-Westlake-Village-CA-91362/66107878_zpid/
2900 Vallejo St,San Francisco,29000000,107,6.0,8.5,8675,CA,https://www.zillow.com/homedetails/2900-Vallejo-St-San-Francisco-CA-94123/15080751_zpid/
N Foothill Rd,Beverly Hills,125000000,3,6.0,16.0,18543,CA,https://www.zillow.com/homedetails/N-Foothill-Rd-Beverly-Hills-CA-90210/2086465791_zpid/
5521 Paradise Valley Rd,Hidden Hills,25000000,1,6.0,9.0,14491,CA,https://www.zillow.com/homedetails/5521-Paradise-Valley-Rd-Hidden-Hills-CA-91302/95704020_zpid/
10701 Bellagio Rd,Los angeles,59995000,1,8.0,12.0,27000,CA,https://www.zillow.com/homedetails/10701-Bellagio-Rd-Los-Angeles-CA-90077/250226177_zpid/
909 N Bedford Dr,BEVERLY HILLS,36500000,0,6.0,10.0,6736,CA,https://www.zillow.com/homedetails/909-N-Bedford-Dr-Beverly-Hills-CA-90210/20521337_zpid/
5225 Figueroa Mountain Rd,Los Olivos,31000000,37,6.0,9.0,12598,CA,https://www.zillow.com/homedetails/5225-Figueroa-Mountain-Rd-Los-Olivos-CA-93441/2100144275_zpid/
12300 Mulholland Dr,Beverly Hills,72000000,10,8.0,14.0,13084,CA,https://www.zillow.com/homedetails/12300-Mulholland-Dr-Beverly-Hills-CA-90210/135446760_zpid/
916 Oxford Way,BEVERLY HILLS,38750000,5,7.0,12.0,14279,CA,https://www.zillow.com/homedetails/916-Oxford-Way-Beverly-Hills-CA-90210/20521153_zpid/
26848 Pacific Coast Hwy,MALIBU,62000000,17,10.0,14.0,16107,CA,https://www.zillow.com/homedetails/26848-Pacific-Coast-Hwy-Malibu-CA-90265/20554889_zpid/
355 1st St UNIT S904,SAN FRANCISCO,422150,15,2.0,2.0,1034,CA,https://www.zillow.com/homedetails/355-1st-St-UNIT-S904-San-Francisco-CA-94105/64971601_zpid/
4425 Haskell Ave,ENCINO,11999000,2,8.0,8.0,14900,CA,https://www.zillow.com/homedetails/4425-Haskell-Ave-Encino-CA-91436/19991154_zpid/
25201 Prado Del Grandioso,CALABASAS,8499000,13,6.0,9.0,9680,CA,https://www.zillow.com/homedetails/25201-Prado-Del-Grandioso-Calabasas-CA-91302/79804694_zpid/
13691 Gavina Ave UNIT 594,Sylmar,134900,30,3.0,2.0,1652,CA,https://www.zillow.com/homedetails/13691-Gavina-Ave-UNIT-594-Sylmar-CA-91342/136709701_zpid/
20067 Canyon View Dr,Santa Clarita,149000,28,3.0,2.0,1825,CA,https://www.zillow.com/homedetails/20067-Canyon-View-Dr-Santa-Clarita-CA-91351/136710329_zpid/
5382 Kent Ave,RIVERSIDE,195000,67,3.0,2.0,1058,CA,https://www.zillow.com/homedetails/5382-Kent-Ave-Riverside-CA-92503/17808614_zpid/
1251 Shadow Hill Way,BEVERLY HILLS,24995000,2,5.0,7.0,11073,CA,https://www.zillow.com/homedetails/1251-Shadow-Hill-Way-Beverly-Hills-CA-90210/20521994_zpid/
3093 Sweetwater Mesa Road,MALIBU,36000000,0,5.0,5.0,14622,CA,https://www.zillow.com/homedetails/3093-Sweetwater-Mesa-Road-Malibu-CA-90265/2090568545_zpid/
18 Harbor Is,NEWPORT BEACH,59995000,29,6.0,11.0,14200,CA,https://www.zillow.com/homedetails/18-Harbor-Is-Newport-Beach-CA-92660/25138442_zpid/
25220 Walker Rd,Hidden Hills,14995000,12,8.0,13.0,19549,CA,https://www.zillow.com/homedetails/25220-Walker-Rd-Hidden-Hills-CA-91302/94684438_zpid/
17111 El Vuelo,RANCHO SANTA FE,39000000,11,6.0,10.0,22500,CA,https://www.zillow.com/homedetails/17111-El-Vuelo-Rancho-Santa-Fe-CA-92067/16732045_zpid/
9080 Bloomfield Ave SPC 74,Cypress,55000,47,4.0,2.0,1440,CA,https://www.zillow.com/homedetails/9080-Bloomfield-Ave-SPC-74-Cypress-CA-90630/2138316361_zpid/
8366 Sunset View Dr,Los Angeles,18295000,2,5.0,10.0,10000,CA,https://www.zillow.com/homedetails/8366-Sunset-View-Dr-Los-Angeles-CA-90069/20798074_zpid/
3103 Marmil Ave,SAN DIEGO,599000,54,4.0,2.0,1959,CA,https://www.zillow.com/homedetails/3103-Marmil-Ave-San-Diego-CA-92139/17137518_zpid/
5922 4th Ave,LOS ANGELES,600000,96,2.0,1.0,1032,CA,https://www.zillow.com/homedetails/5922-4th-Ave-Los-Angeles-CA-90043/20326331_zpid/
2002 Loma Vista Dr,BEVERLY HILLS,27995000,2,5.0,9.0,10047,CA,https://www.zillow.com/homedetails/2002-Loma-Vista-Dr-Beverly-Hills-CA-90210/20534301_zpid/
1460 N Marengo Ave,PASADENA,449000,80,3.0,2.0,1718,CA,https://www.zillow.com/homedetails/1460-N-Marengo-Ave-Pasadena-CA-91103/20865207_zpid/
2391 Roscomare Rd,Los Angeles,29000000,1,32.0,42.0,33955,CA,https://www.zillow.com/homedetails/2391-Roscomare-Rd-Los-Angeles-CA-90077/145642986_zpid/
1707 Westridge Rd,LOS ANGELES,23495000,1,9.0,15.0,16243,CA,https://www.zillow.com/homedetails/1707-Westridge-Rd-Los-Angeles-CA-90049/20546614_zpid/
1813 E Bay Ave,Newport Beach,44995000,1,5.0,8.0,12710,CA,https://www.zillow.com/homedetails/1813-E-Bay-Ave-Newport-Beach-CA-92661/25135603_zpid/
9828 La Jolla Farms Rd,LA JOLLA,19500000,16,5.0,7.0,8627,CA,https://www.zillow.com/homedetails/9828-La-Jolla-Farms-Rd-La-Jolla-CA-92037/16834392_zpid/
9425 Sunset Blvd,BEVERLY HILLS,36000000,51,8.0,14.0,12100,CA,https://www.zillow.com/homedetails/9425-Sunset-Blvd-Beverly-Hills-CA-90210/20522439_zpid/
23800 Malibu Crest Dr,MALIBU,85000000,1,7.0,8.25,15500,CA,https://www.zillow.com/homedetails/23800-Malibu-Crest-Dr-Malibu-CA-90265/20554261_zpid/
1201 Laurel Way,BEVERLY HILLS,38000000,62,6.0,8.0,11200,CA,https://www.zillow.com/homedetails/1201-Laurel-Way-Beverly-Hills-CA-90210/20522020_zpid/
12605 Neon Way,Granada Hills,699000,N/A,4.0,3.0,2675,CA,https://www.zillow.com/homedetails/12605-Neon-Way-Granada-Hills-CA-91344/2085876636_zpid/
1000 N Norman Pl,LOS ANGELES,18500000,0,8.0,14.0,14000,CA,https://www.zillow.com/homedetails/1000-N-Norman-Pl-Los-Angeles-CA-90049/20547014_zpid/
3428 N Riverside Ave,RIALTO,275000,70,5.0,4.0,1640,CA,https://www.zillow.com/homedetails/3428-N-Riverside-Ave-Rialto-CA-92377/17327043_zpid/
75 Beverly Park Ln,BEVERLY HILLS,47500000,22,8.0,10.0,14554,CA,https://www.zillow.com/homedetails/75-Beverly-Park-Ln-Beverly-Hills-CA-90210/20533549_zpid/
25241 Prado Del Grandioso,CALABASAS,10980000,11,8.0,12.0,14763,CA,https://www.zillow.com/homedetails/25241-Prado-Del-Grandioso-Calabasas-CA-91302/89149375_zpid/
